total_conta,gorjeta,sexo,fumante,dia,tempo,quantidade
16.99,1.01,"Mulher","Nao","Dom","Jantar",2
10.34,1.66,"Homem","Nao","Dom","Jantar",2
21.01,3.5,"Homem","Nao","Dom","Jantar",3
23.68,3.31,"Homem","Nao","Dom","Jantar",2
24.59,3.61,"Mulher","Nao","Dom","Jantar",4
25.29,4.71,"Homem","Nao","Dom","Jantar",4
8.77,2,"Homem","Nao","Dom","Jantar",2
26.88,3.12,"Homem","Nao","Dom","Jantar",4
15.04,1.96,"Homem","Nao","Dom","Jantar",2
14.78,3.23,"Homem","Nao","Dom","Jantar",2
10.27,1.71,"Homem","Nao","Dom","Jantar",2
35.26,5,"Mulher","Nao","Dom","Jantar",4
15.42,1.57,"Homem","Nao","Dom","Jantar",2
18.43,3,"Homem","Nao","Dom","Jantar",4
14.83,3.02,"Mulher","Nao","Dom","Jantar",2
21.58,3.92,"Homem","Nao","Dom","Jantar",2
10.33,1.67,"Mulher","Nao","Dom","Jantar",3
16.29,3.71,"Homem","Nao","Dom","Jantar",3
16.97,3.5,"Mulher","Nao","Dom","Jantar",3
20.65,3.35,"Homem","Nao","Sab","Jantar",3
17.92,4.08,"Homem","Nao","Sab","Jantar",2
20.29,2.75,"Mulher","Nao","Sab","Jantar",2
15.77,2.23,"Mulher","Nao","Sab","Jantar",2
39.42,7.58,"Homem","Nao","Sab","Jantar",4
19.82,3.18,"Homem","Nao","Sab","Jantar",2
17.81,2.34,"Homem","Nao","Sab","Jantar",4
13.37,2,"Homem","Nao","Sab","Jantar",2
12.69,2,"Homem","Nao","Sab","Jantar",2
21.7,4.3,"Homem","Nao","Sab","Jantar",2
19.65,3,"Mulher","Nao","Sab","Jantar",2
9.55,1.45,"Homem","Nao","Sab","Jantar",2
18.35,2.5,"Homem","Nao","Sab","Jantar",4
15.06,3,"Mulher","Nao","Sab","Jantar",2
20.69,2.45,"Mulher","Nao","Sab","Jantar",4
17.78,3.27,"Homem","Nao","Sab","Jantar",2
24.06,3.6,"Homem","Nao","Sab","Jantar",3
16.31,2,"Homem","Nao","Sab","Jantar",3
16.93,3.07,"Mulher","Nao","Sab","Jantar",3
18.69,2.31,"Homem","Nao","Sab","Jantar",3
31.27,5,"Homem","Nao","Sab","Jantar",3
16.04,2.24,"Homem","Nao","Sab","Jantar",3
17.46,2.54,"Homem","Nao","Dom","Jantar",2
13.94,3.06,"Homem","Nao","Dom","Jantar",2
9.68,1.32,"Homem","Nao","Dom","Jantar",2
30.4,5.6,"Homem","Nao","Dom","Jantar",4
18.29,3,"Homem","Nao","Dom","Jantar",2
22.23,5,"Homem","Nao","Dom","Jantar",2
32.4,6,"Homem","Nao","Dom","Jantar",4
28.55,2.05,"Homem","Nao","Dom","Jantar",3
